AñoMes,Aerolinea,Codigo_IATA,Tipo,Región,Tipo_Operacion,Categoria_Precios,Terminal,Area_Terminal,Cantidad_Pasajeros,Pasajeros_Atrasados_Perdida_Conexion,Vuelos_Atrasados_Aeropuerto
201206,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 3,E,166577,41644-20406,341
201206,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 3,E,160890,30569-17119,104
201206,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 3,E,5493,1044-324,4
201206,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 3,E,5213,782-454,3
201206,Asiana Airlines,OZ,International,Asia,Deplaned,Other,International,A,5041,1109-444,5
201206,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,4744,474-280,2
201206,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,1552,217-132,2
201206,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,1484,386-104,1
201206,BelAir Airlines,4T,International,Europe,Deplaned,Other,International,A,325,36-23,0
201206,BelAir Airlines,4T,International,Europe,Enplaned,Other,International,A,545,87-58,0
201206,British Airways,BA,International,Europe,Deplaned,Other,International,A,20632,2063-1197,8
201206,British Airways,BA,International,Europe,Enplaned,Other,International,A,21686,4988-3142,18
201206,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,11010,1762-546,13
201206,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,9628,1155-578,7
201206,China Airlines,CI,International,Asia,Deplaned,Other,International,A,13638,2728-737,16
201206,China Airlines,CI,International,Asia,Enplaned,Other,International,A,11255,1013-425,5
201206,Continental Airlines,CO,Domestic,US,Deplaned,Other,Terminal 1,B,62178,11192-5148,45
201206,Continental Airlines,CO,Domestic,US,Enplaned,,Terminal 1,B,60939,10360-2694,82
201206,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,97510,14627-5558,106
201206,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,93791,15007-7353,97
201206,EVA Airways,BR,International,Asia,Deplaned,Other,International,G,14142,2828-1669,23
201206,EVA Airways,BR,International,Asia,Enplaned,Other,International,G,12132,2305-1106,15
201206,Frontier Airlines,F9,Domestic,US,Deplaned,Low Fare,Terminal 1,B,19234,3654-1644,12
201206,Frontier Airlines,F9,Domestic,US,Enplaned,Low Fare,Terminal 1,B,18368,4041-1495,15
201206,Hawaiian Airlines,HA,Domestic,US,Deplaned,Other,Terminal 1,C,7579,1592-525,6
201206,Hawaiian Airlines,HA,Domestic,US,Enplaned,Other,Terminal 1,C,7658,1302-768,9
201206,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 1,B,5284,1374-330,10
201206,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 1,B,5257,578-249,3
201206,Icelandair,FI,International,Europe,Deplaned,Other,International,A,4540,953-286,5
201206,Icelandair,FI,International,Europe,Enplaned,Other,International,A,4341,998-559,5
201206,Independence Air,DH,Domestic,US,Deplaned,,International,A,10843,2277-1002,16
201206,Independence Air,DH,Domestic,US,Enplaned,Low Fare,International,A,10967,2961-1066,14
201206,Japan Airlines,JL,International,Asia,Deplaned,Other,International,A,9195,2299-759,18
201206,Japan Airlines,JL,International,Asia,Enplaned,Other,International,A,9086,1181-354,6
201206,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Other,International,A,9978,898-449,4
201206,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,9587,1438-777,7
201206,Korean Air Lines,KE,International,Asia,Deplaned,Other,International,A,6153,1354-650,6
201206,Korean Air Lines,KE,International,Asia,Enplaned,Other,International,A,5646,1186-474,6
201206,Lufthansa German Airlines,LH,International,Europe,Deplaned,Other,International,G,22389,3358-772,24
201206,Lufthansa German Airlines,LH,International,Europe,Enplaned,Other,International,G,20511,3487-1848,14
201206,US Airways,US ,Domestic,US,Deplaned,,Terminal 1,B,2636,264-69,2
201206,US Airways,US ,Domestic,US,Enplaned,Other,Terminal 1,B,2535,279-162,1
201206,Mexicana Airlines,MX,International,Mexico,Deplaned,Other,International,G,7751,1938-756,13
201206,Mexicana Airlines,MX,International,Mexico,Enplaned,Other,International,G,7845,1569-957,9
201206,Midwest Airlines,YX,Domestic,US,Deplaned,Other,Terminal 1,A,1797,395-190,1
201206,Midwest Airlines,YX,Domestic,US,Enplaned,Other,Terminal 1,A,3238,745-454,6
201206,Northwest Airlines,NW,Domestic,US,Deplaned,Other,Terminal 1,C,64231,10919-4914,64
201206,Northwest Airlines,NW,Domestic,US,Enplaned,Other,Terminal 1,C,62049,16753-3853,61
201206,Northwest Airlines,NW,International,Asia,Deplaned,Other,International,A,7229,795-199,3
201206,Northwest Airlines,NW,International,Asia,Enplaned,Other,International,A,6554,983-413,5
201206,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,12828,1796-808,11
201206,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,10269,1848-1053,7
201206,Singapore Airlines,SQ,International,Asia,Deplaned,Other,International,G,19211,4803-1921,18
201206,Singapore Airlines,SQ,International,Asia,Enplaned,Other,International,G,17462,1572-472,5
201206,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,7262,1743-872,6
201206,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,6586,1647-1005,8
201206,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,103279,13426-8190,97
201206,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,102023,13263-6499,53
201206,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,F,3688,959-384,3
201206,United Airlines,UA,International,Canada,Enplaned,,Terminal 3,F,3633,1017-234,3
201206,Sun Country Airlines,SY,Domestic,US,Deplaned,Low Fare,Terminal 1,B,4827,1062-361,6
201206,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,Terminal 1,B,4784,1148-413,4
201206,TACA,TA,International,Central America,Deplaned,Other,International,G,6324,1202-433,8
201206,TACA,TA,International,Central America,Enplaned,Other,International,G,7031,1969-886,11
201206,US Airways,US ,Domestic,US,Deplaned,Other,Terminal 1,A,46042,9669-3868,69
201206,US Airways,US ,Domestic,US,Enplaned,Other,Terminal 1,A,45553,9111-3462,35
201206,US Airways,US ,Domestic,US,Deplaned,Low Fare,Terminal 1,B,38951,8959-3404,34
201206,US Airways,US ,Domestic,US,Enplaned,Low Fare,Terminal 1,B,37848,4542-908,30
201206,United Airlines,UA,Domestic,US,Deplaned,Low Fare,Terminal 3,E,58767,8227-4360,49
201206,United Airlines,UA,Domestic,US,Enplaned,Low Fare,Terminal 3,E,58277,9907-5053,44
201206,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,443656,88731-45253,387
201206,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,421802,37962-20499,226
201206,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,F,11388,2619-1650,21
201206,United Airlines,UA,International,Asia,Deplaned,Other,International,G,77658,15532-9164,62
201206,United Airlines,UA,International,Asia,Enplaned,Other,International,G,68278,8876-5592,30
201206,United Airlines,UA,International,Asia,Thru / Transit,Other,International,G,3953,356-210,1
201206,United Airlines,UA,International,Australia / Oceania,Deplaned,,International,G,8603,1290-284,7
201206,United Airlines,UA,International,Australia / Oceania,Enplaned,Other,International,G,8234,1235-247,4
201206,United Airlines,UA,International,Australia / Oceania,Thru / Transit,Other,International,G,1385,277-58,1
201206,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,F,12874,2961-1510,13
201206,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,12085,1329-532,8
201206,United Airlines,UA,International,Canada,Thru / Transit,Other,Terminal 3,F,10,2-1,0
201206,United Airlines,UA,International,Europe,Deplaned,Other,International,G,30796,3388-2270,24
201206,United Airlines,UA,International,Europe,Enplaned,Other,International,G,29283,3807-1980,23
201206,United Airlines,UA,International,Europe,Thru / Transit,Other,International,G,888,160-90,1
201206,United Airlines,UA,International,Mexico,Deplaned,Other,International,G,9537,2575-1519,9
201206,United Airlines,UA,International,Mexico,Enplaned,Other,International,G,9672,2225-779,10
201206,United Airlines,UA,International,Mexico,Thru / Transit,Other,International,G,45,8-2,0
201206,Virgin Atlantic,VS,International,Europe,Deplaned,Other,International,A,11684,1168-327,5
201206,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,10771,1831-696,8
201206,WestJet Airlines,WS,International,Canada,Deplaned,Other,International,A,2480,422-135,3
201206,WestJet Airlines,WS,International,Canada,Enplaned,Other,International,A,2211,199-113,1
201207,ATA Airlines,TZ,Domestic,US,Deplaned,,Terminal 1,B,27472,3022-967,12
201207,ATA Airlines,TZ,Domestic,US,Enplaned,Low Fare,Terminal 1,B,26535,5307-3078,22
201207,ATA Airlines,TZ,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,5712,514-206,4
201207,Air Canada ,AC,International,Canada,Deplaned,Other,Terminal 1,B,34878,3837-1995,26
201207,Air Canada ,AC,International,Canada,Enplaned,Other,Terminal 1,B,34105,9549-3247,42
201207,Air China,CA,International,Asia,Deplaned,Other,International,G,4204,967-445,5
201207,Air China,CA,International,Asia,Enplaned,Other,International,G,3923,471-122,4
201207,Air France,AF,International,Europe,Deplaned,Other,International,A,11230,1011-394,6
201207,Air France,AF,International,Europe,Enplaned,Other,International,A,11731,1877-432,13
201207,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Other,International,G,4672,888-382,5
201207,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Other,International,G,4006,1082-325,4
201207,AirTran Airways,FL,Domestic,US,Deplaned,Low Fare,International,A,7796,1871-599,7
201207,AirTran Airways,FL,Domestic,US,Enplaned,Low Fare,International,A,7737,1702-800,14
201207,Alaska Airlines,AS,Domestic,US,Deplaned,Other,International,A,40431,9703-5240,38
201207,Alaska Airlines,AS,Domestic,US,Enplaned,Other,International,A,39595,6335-3168,32
201207,Alaska Airlines,AS,Domestic,US,Thru / Transit,Other,International,A,1902,285-162,2
201207,Alaska Airlines,AS,International,Canada,Deplaned,Other,International,A,8901,2225-1313,14
201207,Alaska Airlines,AS,International,Canada,Enplaned,Other,International,A,9020,2345-1360,8
201207,Alaska Airlines,AS,International,Mexico,Deplaned,Other,International,A,7541,1885-829,6
201207,Alaska Airlines,AS,International,Mexico,Enplaned,Other,International,A,9333,2613-836,18
201207,Alaska Airlines,AS,International,Mexico,Thru / Transit,Other,International,A,1902,171-68,1
201207,All Nippon Airways,NH,International,Asia,Deplaned,,International,G,6739,1213-315,6
201207,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,5966,537-360,2
201207,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 3,E,162064,32413-16207,109
201207,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 3,E,157700,26809-6970,128
201207,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 3,E,5233,942-358,7
201207,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 3,E,4866,925-453,7
201207,Asiana Airlines,OZ,International,Asia,Deplaned,Other,International,A,4099,861-319,4
201207,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,3376,912-529,3
201207,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,1735,451-95,2
201207,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,1560,281-163,1
201207,BelAir Airlines,4T,International,Europe,Deplaned,Other,International,A,353,32-9,0
201207,BelAir Airlines,4T,International,Europe,Enplaned,Other,International,A,751,173-50,1
201207,Boeing Company,,Domestic,US,Deplaned,Other,Other,Other,18,2-0,0
201207,British Airways,BA,International,Europe,Deplaned,Other,International,A,20312,2234-1296,14
201207,British Airways,BA,International,Europe,Enplaned,Other,International,A,20084,3013-1055,12
201207,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,11753,1410-663,9
201207,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,9050,905-453,4
201207,China Airlines,CI,International,Asia,Deplaned,Other,International,A,14610,2776-1444,13
201207,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10972,2524-606,16
201207,Continental Airlines,CO,Domestic,US,Deplaned,Other,Terminal 1,B,61872,11756-3527,46
201207,Continental Airlines,CO,Domestic,US,Enplaned,Other,Terminal 1,B,61768,10501-6301,65
201207,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,97343,13628-8858,74
201207,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,97160,18460-9968,78
201207,EVA Airways,BR,International,Asia,Deplaned,,International,G,13524,1217-584,4
201207,EVA Airways,BR,International,Asia,Enplaned,Other,International,G,11950,2510-1130,10
201207,Frontier Airlines,F9,Domestic,US,Deplaned,Low Fare,Terminal 1,B,17109,3593-1868,17
201207,Frontier Airlines,F9,Domestic,US,Enplaned,Low Fare,Terminal 1,B,17186,2922-1929,11
201207,Hawaiian Airlines,HA,Domestic,US,Deplaned,Other,Terminal 1,C,7923,872-410,6
201207,Hawaiian Airlines,HA,Domestic,US,Enplaned,Other,Terminal 1,C,7751,775-496,5
201207,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 1,B,5572,501-220,2
201207,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 1,B,5268,632-335,3
201207,Icelandair,FI,International,Europe,Deplaned,Other,International,A,4691,469-286,2
201207,Icelandair,FI,International,Europe,Enplaned,Other,International,A,4355,697-202,2
201207,Independence Air,DH,Domestic,US,Deplaned,Low Fare,International,A,9191,1103-574,7
201207,Independence Air,DH,Domestic,US,Enplaned,Low Fare,International,A,9850,1872-711,11
201207,Japan Airlines,JL,International,Asia,Deplaned,Other,International,A,9296,2324-1325,9
201207,Japan Airlines,JL,International,Asia,Enplaned,Other,International,A,7913,1503-691,9
201207,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Other,International,A,9666,2706-1597,17
201207,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,9881,2174-891,12
201207,Korean Air Lines,KE,International,Asia,Deplaned,Other,International,A,8856,1328-797,5
201207,Korean Air Lines,KE,International,Asia,Enplaned,Other,International,A,7164,1290-632,6
201207,Lufthansa German Airlines,LH,International,Europe,Deplaned,Other,International,G,21512,5808-1684,21
201207,Lufthansa German Airlines,LH,International,Europe,Enplaned,Other,International,G,21881,4157-2702,16
201207,US Airways,US ,Domestic,US,Deplaned,Other,Terminal 1,B,2725,654-419,2
201207,US Airways,US ,Domestic,US,Enplaned,Other,Terminal 1,B,2546,331-109,1
201207,Mexicana Airlines,MX,International,Mexico,Deplaned,Other,International,G,7156,1002-551,6
201207,Mexicana Airlines,MX,International,Mexico,Enplaned,Other,International,G,5946,1189-464,9
201207,Midwest Airlines,YX,Domestic,US,Deplaned,Other,Terminal 1,A,1552,310-205,1
201207,Midwest Airlines,YX,Domestic,US,Enplaned,Other,Terminal 1,A,3382,879-220,5
201207,Northwest Airlines,NW,Domestic,US,Deplaned,Other,Terminal 1,C,56501,14690-7933,53
201207,Northwest Airlines,NW,Domestic,US,Enplaned,Other,Terminal 1,C,56674,10201-4386,47
201207,Northwest Airlines,NW,International,Asia,Deplaned,Other,International,A,7107,1635-1095,10
201207,Northwest Airlines,NW,International,Asia,Enplaned,Other,International,A,6522,1044-626,4
201207,Philippine Airlines,PR,International,Asia,Deplaned,,International,A,12856,2057-802,15
201207,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,8718,1046-596,4
201207,Singapore Airlines,SQ,International,Asia,Deplaned,Other,International,G,19192,4798-2207,16
201207,Singapore Airlines,SQ,International,Asia,Enplaned,Other,International,G,17118,3766-942,13
201207,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,7052,635-133,3
201207,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,6652,1463-439,5
201207,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,102899,22638-8376,129
201207,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,103188,24765-7430,116
201207,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,F,3672,588-376,2
201207,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,3570,1000-220,5
201207,Sun Country Airlines,SY,Domestic,US,Deplaned,Low Fare,Terminal 1,B,4720,1322-542,5
201207,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,Terminal 1,B,4717,802-385,6
201207,TACA,TA,International,Central America,Deplaned,Other,International,G,7357,1692-372,14
201207,TACA,TA,International,Central America,Enplaned,Other,International,G,5128,1333-866,5
201207,US Airways,US ,Domestic,US,Deplaned,Other,Terminal 1,A,42622,8951-1969,30
201207,US Airways,US ,Domestic,US,Enplaned,Other,Terminal 1,A,44508,12017-5408,59
201207,US Airways,US ,Domestic,US,Deplaned,Low Fare,Terminal 1,B,40712,6514-2931,38
201207,US Airways,US ,Domestic,US,Enplaned,Low Fare,Terminal 1,B,40322,4032-1492,14
201207,United Airlines,UA,Domestic,US,Deplaned,,Terminal 3,E,55842,15077-7388,51
201207,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,E,27930,4748-1519,16
201207,United Airlines,UA,Domestic,US,Enplaned,Low Fare,Terminal 3,E,56087,12339-3332,45
201207,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,26098,3915-1762,30
201207,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,E,676,189-96,2
201207,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,420430,58860-24133,238
201207,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,398135,91571-28387,343
201207,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,F,11585,2780-1056,10
201207,United Airlines,UA,International,Asia,Deplaned,Other,International,G,79131,12661-7723,52
201207,United Airlines,UA,International,Asia,Enplaned,Other,International,G,68861,12395-3223,60
201207,United Airlines,UA,International,Asia,Thru / Transit,Other,International,G,4059,771-517,5
201207,United Airlines,UA,International,Australia / Oceania,Deplaned,Other,International,G,8903,1068-320,4
201207,United Airlines,UA,International,Australia / Oceania,Enplaned,Other,International,G,7874,1496-494,7
201207,United Airlines,UA,International,Australia / Oceania,Thru / Transit,Other,International,G,1475,384-142,1
201207,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,F,13895,1667-934,11
201207,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,12145,2672-1710,13
201207,United Airlines,UA,International,Europe,Deplaned,Other,International,G,29236,3216-1865,14
201207,United Airlines,UA,International,Europe,Enplaned,Other,International,G,29920,2693-1212,20
201207,United Airlines,UA,International,Europe,Thru / Transit,Other,International,G,863,112-52,1
201207,United Airlines,UA,International,Mexico,Deplaned,Other,International,G,9397,1785-643,6
201207,United Airlines,UA,International,Mexico,Enplaned,,International,G,9275,1948-1091,8
201207,United Airlines,UA,International,Mexico,Thru / Transit,Other,International,G,78,9-6,0
201207,Virgin Atlantic,VS,International,Europe,Deplaned,Other,International,A,10685,2885-1125,22
201207,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,11072,2768-1273,15
201207,WestJet Airlines,WS,International,Canada,Deplaned,Other,International,A,2300,253-152,2
201207,WestJet Airlines,WS,International,Canada,Enplaned,Other,International,A,2251,248-124,1
201208,ATA Airlines,TZ,Domestic,US,Deplaned,Low Fare,Terminal 1,B,17341,3988-917,19
201208,ATA Airlines,TZ,Domestic,US,Enplaned,Low Fare,Terminal 1,B,18541,1669-334,11
201208,ATA Airlines,TZ,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,4412,971-262,8
201208,Air Canada ,AC,International,Canada,Deplaned,Other,Terminal 1,B,24473,5139-2826,29
201208,Air Canada ,AC,International,Canada,Enplaned,Other,Terminal 1,B,26120,2351-893,10
201208,Air China,CA,International,Asia,Deplaned,Other,International,G,4416,486-272,2
201208,Air China,CA,International,Asia,Enplaned,Other,International,G,4568,502-301,3
201208,Air France,AF,International,Europe,Deplaned,Other,International,A,10731,2790-670,10
201208,Air France,AF,International,Europe,Enplaned,Other,International,A,11337,1360-694,5
201208,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Other,International,G,4565,1004-532,6
201208,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Other,International,G,4295,387-232,2
201208,AirTran Airways,FL,Domestic,US,Deplaned,Low Fare,International,A,7057,635-292,2
201208,AirTran Airways,FL,Domestic,US,Enplaned,Low Fare,International,A,6806,1906-896,12
201208,Alaska Airlines,AS,Domestic,US,Deplaned,Other,International,A,31117,3423-2122,15
201208,Alaska Airlines,AS,Domestic,US,Enplaned,Other,International,A,33742,7423-4973,48
201208,Alaska Airlines,AS,Domestic,US,Thru / Transit,,International,A,3843,692-145,5
201208,Alaska Airlines,AS,International,Canada,Deplaned,Other,International,A,6635,597-322,4
201208,Alaska Airlines,AS,International,Canada,Enplaned,Other,International,A,7783,1946-681,9
201208,Alaska Airlines,AS,International,Canada,Thru / Transit,Other,International,A,161,16-7,0
201208,Alaska Airlines,AS,International,Mexico,Deplaned,Other,International,A,5446,490-216,3
201208,Alaska Airlines,AS,International,Mexico,Enplaned,Other,International,A,7674,767-169,5
201208,Alaska Airlines,AS,International,Mexico,Thru / Transit,Other,International,A,1504,391-137,2
201208,All Nippon Airways,NH,International,Asia,Deplaned,Other,International,G,5875,705-226,2
201208,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,5960,1013-658,4
201208,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 3,E,135043,13504-8913,59
201208,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 3,E,135944,14954-3290,80
201208,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 3,E,4240,721-361,3
201208,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 3,E,4166,417-234,2
201208,Asiana Airlines,OZ,International,Asia,Deplaned,Other,International,A,4792,1150-633,5
201208,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,5140,771-463,6
201208,BelAir Airlines,4T,International,Europe,Deplaned,Other,International,A,108,26-12,0
201208,BelAir Airlines,4T,International,Europe,Enplaned,Other,International,A,315,32-9,0
201208,British Airways,BA,International,Europe,Deplaned,Other,International,A,20455,3886-1282,15
201208,British Airways,BA,International,Europe,Enplaned,Other,International,A,20635,3302-2080,23
201208,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,8370,1004-341,4
201208,Cathay Pacific,CX,International,Asia,Enplaned,,International,A,9874,987-415,5
201208,China Airlines,CI,International,Asia,Deplaned,Other,International,A,9154,2380-1523,14
201208,China Airlines,CI,International,Asia,Enplaned,Other,International,A,9486,1897-531,7
201208,Continental Airlines,CO,Domestic,US,Deplaned,Other,Terminal 1,B,50133,14037-9124,53
201208,Continental Airlines,CO,Domestic,US,Enplaned,Other,Terminal 1,B,49094,12274-6628,53
201208,Delta Air Lines,DL,Domestic,US,Deplaned,Low Fare,Terminal 1,C,17291,1556-576,5
201208,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,68347,8202-1804,60
201208,Delta Air Lines,DL,Domestic,US,Enplaned,Low Fare,Terminal 1,C,17453,3491-2304,20
201208,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,67160,7388-2734,26
201208,EVA Airways,BR,International,Asia,Deplaned,Other,International,G,9931,1390-487,7
201208,EVA Airways,BR,International,Asia,Enplaned,Other,International,G,10752,2903-755,13
201208,Frontier Airlines,F9,Domestic,US,Deplaned,Low Fare,Terminal 1,B,13426,2685-618,10
201208,Frontier Airlines,F9,Domestic,US,Enplaned,Low Fare,Terminal 1,B,12989,2078-894,15
201208,Hawaiian Airlines,HA,Domestic,US,Deplaned,Other,Terminal 1,C,7735,1315-723,5
201208,Hawaiian Airlines,HA,Domestic,US,Enplaned,Other,Terminal 1,C,7624,1906-705,10
201208,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 1,B,4648,1301-716,5
201208,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 1,B,4401,660-436,3
201208,Icelandair,FI,International,Europe,Deplaned,Other,International,A,1996,240-101,1
201208,Icelandair,FI,International,Europe,Enplaned,Other,International,A,1677,184-121,1
201208,Independence Air,DH,Domestic,US,Deplaned,Low Fare,International,A,5218,835-434,7
201208,Independence Air,DH,Domestic,US,Enplaned,Low Fare,International,A,5503,1321-568,7
201208,Japan Airlines,JL,International,Asia,Deplaned,Other,International,A,7087,1772-656,12
201208,Japan Airlines,JL,International,Asia,Enplaned,Other,International,A,8264,2231-491,18
201208,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Other,International,A,9562,2582-620,12
201208,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,9513,1712-377,6
201208,Korean Air Lines,KE,International,Asia,Deplaned,Other,International,A,4344,478-172,2
201208,Korean Air Lines,KE,International,Asia,Enplaned,Other,International,A,3448,759-235,4
201208,Lufthansa German Airlines,LH,International,Europe,Deplaned,Other,International,G,20535,3491-1676,14
201208,Lufthansa German Airlines,LH,International,Europe,Enplaned,Other,International,G,21379,3848-2309,16
201208,US Airways,US ,Domestic,US,Deplaned,Other,Terminal 1,B,1781,196-96,1
201208,US Airways,US ,Domestic,US,Enplaned,Other,Terminal 1,B,1751,158-51,1
